property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_in_lakhs,price_category
PROP-000001,Bangalore,HSR Layout,Standard,Apartment,4,4,1,1570,1361,0,3,Ground,North-East,Fully Furnished,5,1,7.5,0,0,1,0,3094,11.6,3.5,3,1,New,102.34,Low
PROP-000002,Mumbai,Powai,Standard,Row House,2,1,1,908,778,9,17,Mid (5-9),West,Semi-Furnished,14,0,6.0,1,0,1,1,3893,24.2,1.3,3,2,Resale,71.48,Low
PROP-000003,Bangalore,Indiranagar,Premium,Independent House,3,3,2,1784,1568,14,16,High (10-19),East,Unfurnished,3,2,5.1,1,1,1,1,7038,5.0,0.1,2,1,Resale,245.57,High
PROP-000004,Mumbai,Powai,Standard,Independent House,4,4,2,2318,2011,15,16,High (10-19),West,Semi-Furnished,9,1,5.1,0,0,0,1,3569,11.9,7.9,2,0,New,122.95,Low
PROP-000005,Bangalore,Electronic City,Standard,Apartment,3,4,2,988,840,18,24,High (10-19),East,Semi-Furnished,10,1,6.2,0,0,1,1,2628,11.4,7.2,1,0,Resale,64.71,Low
PROP-000006,Bangalore,HSR Layout,Standard,Apartment,3,3,2,1435,1168,27,30,Top (20+),North-East,Semi-Furnished,2,1,5.4,0,0,1,1,2755,10.5,0.4,0,1,New,180.15,Low
PROP-000007,Mumbai,Thane,Affordable,Apartment,2,2,1,1039,909,22,30,Top (20+),South-East,Unfurnished,2,1,4.3,0,0,1,1,2527,23.2,2.5,1,1,Resale,39.26,Low
PROP-000008,Hyderabad,Jubilee Hills,Premium,Penthouse,4,3,2,2102,1789,5,10,Mid (5-9),North-West,Semi-Furnished,5,4,7.0,1,1,1,1,5702,6.0,1.8,3,2,Resale,284.35,High
PROP-000009,Delhi,South Delhi,Premium,Independent House,2,2,3,1131,952,9,17,Mid (5-9),East,Semi-Furnished,1,1,6.1,0,1,1,1,4402,5.2,5.1,3,5,Resale,178.88,Low
PROP-000010,Bangalore,Koramangala,Premium,Independent House,3,3,3,1532,1348,5,6,Mid (5-9),West,Unfurnished,10,0,6.4,1,1,1,1,5987,8.7,4.4,0,2,Resale,179.27,Low
PROP-000011,Bangalore,Whitefield,Standard,Apartment,1,1,2,566,467,5,11,Mid (5-9),North,Fully Furnished,1,0,3.3,0,0,1,1,2561,12.6,2.8,1,3,Resale,28.4,Low
PROP-000012,Bangalore,Koramangala,Premium,Row House,3,3,1,1340,1166,1,4,Low (1-4),South-East,Semi-Furnished,1,0,8.4,0,1,1,0,4366,7.9,0.2,2,2,Resale,237.01,High
PROP-000013,Bangalore,Whitefield,Standard,Studio,1,2,1,305,263,16,17,High (10-19),South,Semi-Furnished,2,1,4.8,0,0,1,1,1611,11.7,1.5,1,0,Resale,39.12,Low
PROP-000014,Mumbai,Bandra,Premium,Apartment,3,4,0,1451,1240,3,4,Low (1-4),East,Semi-Furnished,10,1,4.3,1,1,1,1,6976,7.9,2.6,2,1,Resale,168.45,Low
PROP-000015,Bangalore,Whitefield,Standard,Apartment,3,3,1,1305,1078,34,42,Top (20+),South,Unfurnished,4,2,4.5,0,0,1,1,2856,11.1,2.6,2,1,Resale,134.61,Low
PROP-000016,Mumbai,Powai,Standard,Apartment,4,4,2,1864,1571,4,12,Low (1-4),North-East,Semi-Furnished,0,1,3.3,0,0,0,1,3261,25.7,0.2,3,2,Resale,157.38,Low
PROP-000017,Hyderabad,Banjara Hills,Premium,Apartment,2,2,0,943,776,11,13,High (10-19),West,Unfurnished,8,1,6.8,1,1,1,1,6169,5.8,7.8,4,4,New,132.79,Low
PROP-000018,Hyderabad,Banjara Hills,Premium,Villa,4,4,1,2178,1776,8,12,Mid (5-9),East,Fully Furnished,6,4,7.2,1,1,1,1,6605,7.9,2.0,6,1,New,242.78,High
PROP-000019,Mumbai,Bandra,Premium,Villa,4,4,3,2110,1718,7,15,Mid (5-9),West,Semi-Furnished,1,1,9.8,1,1,1,1,6847,8.2,1.6,10,3,New,335.56,High
PROP-000020,Mumbai,Bandra,Premium,Apartment,2,3,2,894,782,1,4,Low (1-4),South,Unfurnished,0,2,5.8,1,1,1,0,6250,9.1,10.0,3,1,New,123.88,Low
PROP-000021,Delhi,Gurgaon DLF,Premium,Independent House,2,2,2,1336,1126,3,7,Low (1-4),North-West,Semi-Furnished,3,1,4.5,0,0,1,1,2815,9.3,2.4,4,1,Resale,177.51,Low
PROP-000022,Mumbai,Andheri,Standard,Apartment,3,3,2,1099,930,38,45,Top (20+),South,Semi-Furnished,5,3,6.8,0,0,0,1,2192,11.4,0.3,3,2,Resale,124.78,Low
PROP-000023,Hyderabad,Gachibowli,Standard,Apartment,2,2,2,734,629,8,10,Mid (5-9),North-East,Semi-Furnished,7,0,1.8,1,0,0,1,3537,10.4,3.0,2,0,Resale,79.12,Low
PROP-000024,Mumbai,Powai,Standard,Apartment,2,2,1,812,661,2,3,Low (1-4),South-East,Semi-Furnished,31,0,6.9,0,0,1,1,2650,13.6,1.0,1,2,New,44.54,Low
PROP-000025,Bangalore,HSR Layout,Standard,Villa,3,4,2,1749,1515,5,7,Mid (5-9),North,Unfurnished,10,1,5.6,1,1,0,1,5928,13.4,1.0,3,0,Resale,140.0,Low
PROP-000026,Bangalore,Koramangala,Premium,Studio,1,1,2,385,330,4,5,Low (1-4),East,Fully Furnished,12,3,9.4,1,1,1,1,5980,5.3,1.9,4,2,New,49.43,Low
PROP-000027,Hyderabad,Gachibowli,Standard,Apartment,4,5,3,1721,1447,0,6,Ground,North,Unfurnished,8,1,5.7,0,0,1,0,3488,15.3,2.2,4,1,Resale,129.83,Low
PROP-000028,Bangalore,Indiranagar,Premium,Villa,5,6,2,2623,2306,15,20,High (10-19),South-West,Semi-Furnished,5,3,7.9,1,1,1,1,7338,4.6,0.9,8,0,Resale,411.69,High
